,Hora,Calefactor,Aire,Ventilador,Secadora,Lavatrastes,Estufa,Microondas,Lavadora,Refrigerador,Foco,Dia
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.5,0.0,0.0,1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.5,0.0,0.0,1
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.7,0.0,1
3,3.0,0.0,0.0,0.0,0.0,803.17,1425.0,1082.43,0.0,0.0,0.0,1
4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.7,10.5,1
6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,7.0,8.0,0.0,0.0,0.0,803.17,1425.0,0.0,0.0,2861.7,10.5,1
8,8.0,8.0,0.0,88.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,9.0,8.0,0.0,88.82,0.0,0.0,0.0,0.0,0.0,2861.7,10.5,1
10,10.0,0.0,0.0,88.82,0.0,0.0,1425.0,0.0,895.5,2861.7,10.5,1
11,11.0,0.0,0.0,0.0,0.0,0.0,1425.0,0.0,895.5,0.0,0.0,1
12,12.0,0.0,0.0,0.0,0.0,803.17,1425.0,0.0,895.5,0.0,0.0,1
13,13.0,0.0,0.0,0.0,0.0,803.17,1425.0,1082.43,0.0,2861.7,10.5,1
14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.7,0.0,1
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.43,0.0,0.0,0.0,1
16,16.0,0.0,0.0,0.0,980.625,0.0,0.0,0.0,895.5,2861.7,0.0,1
17,17.0,0.0,1496.34,0.0,0.0,0.0,0.0,0.0,895.5,0.0,0.0,1
18,18.0,8.0,1496.34,0.0,0.0,0.0,0.0,1082.43,0.0,0.0,0.0,1
19,19.0,8.0,1496.34,0.0,0.0,0.0,1425.0,0.0,0.0,2861.7,10.5,1
20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.5,2861.7,0.0,1
21,21.0,0.0,0.0,0.0,0.0,803.17,1425.0,0.0,895.5,2861.7,10.5,1
22,22.0,0.0,0.0,0.0,0.0,803.17,1425.0,1082.43,895.5,2861.7,0.0,1
23,23.0,0.0,0.0,0.0,0.0,803.17,1425.0,0.0,895.5,0.0,0.0,1
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
25,1.0,0.0,0.0,0.0,0.0,803.17,1425.0,0.0,0.0,2861.7,10.5,2
26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2
27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
29,5.0,0.0,0.0,0.0,0.0,0.0,1425.0,0.0,0.0,2861.7,0.0,2
30,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.5,0.0,10.5,2
31,7.0,0.0,0.0,0.0,0.0,803.17,0.0,1082.43,0.0,0.0,0.0,2
32,8.0,0.0,0.0,0.0,0.0,0.0,1425.0,1082.43,895.5,0.0,10.5,2
33,9.0,0.0,0.0,88.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
34,10.0,0.0,0.0,88.82,0.0,0.0,0.0,1082.43,0.0,2861.7,0.0,2
35,11.0,0.0,0.0,88.82,0.0,0.0,0.0,0.0,895.5,2861.7,0.0,2
